Symbol,Pre Market Volume,Price % Change from Open,% From Daily VWAP,ADR % - 1 Day,ADR - 1 Day,ATR - 14 Days,Last,Volume,Pre Market Last,Pre Market Price % Change,Relative Volume - 5 Day,Relative Volume - 20 Day,Industry,DCR,WCR,Name
A,NaN,0.51%,0.11%,0.82%,1.11,3.7825,$136,1575905,$NaN,NaN%,1.062,0.8723,Life Sciences Tools & Services,65%,80%,"Agilent Technologies, Inc."
AA,12603,3.23%,0.16%,4.73%,2.47,3.6166,$54,5259488,$52.57,-0.96%,1.025,1.1128,Metals & Mining,73%,36%,Alcoa Corporation
AADX,527,11.41%,3.82%,12.53%,2.305,2.0718,$20.5,1102117,$18.3159,-2.32%,1.2919,0.883,-,91%,94%,"Applied Aerospace & Defense, Inc."
AAL,1258978,2.23%,0.62%,2.96%,0.515,0.7614,$17.88,141494302,$17.48,-0.51%,0.8234,1.1575,Passenger Airlines,88%,93%,American Airlines Group Inc.
AAMI,3136,2.66%,0.27%,3.74%,2.63,3.8584,$72.22,801457,$70,0.33%,0.9661,2.0565,Capital Markets,71%,45%,Acadian Asset Management
AAOI,534977,3.05%,1.53%,10.88%,13.82,21.2364,$135.7,10775965,$131.15,-5.33%,0.9461,0.8804,Communications Equipment,63%,17%,"Applied Optoelectronics, Inc."
AAON,538,-3.10%,-2.16%,6.05%,7.6219,7.8135,$126.72,994944,$131.2,-1.55%,1.7088,1.3616,Building Products,10%,5%,"AAON, Inc."
AAP,NaN,5.27%,0.79%,6.29%,3.7043,2.8662,$62.19,1781954,$NaN,NaN%,1.3411,1.2568,Specialty Retail,88%,95%,"Advance Auto Parts, Inc."
AAPL,1046054,2.29%,0.54%,4.28%,11.74,9.2186,$281.3,94919645,$275.2,0.02%,1.972,2.3715,"Technology Hardware, Storage & Peripherals",60%,26%,Apple Inc.
AAT,NaN,2.11%,0.97%,2.29%,0.565,0.4986,$25.18,425176,$NaN,NaN%,1.5958,1.4034,Diversified REITs,94%,97%,"American Assets Trust, Inc."
AAUC,551,0.76%,0.79%,2.92%,0.655,1.0196,$23.075,131003,$22.97,0.53%,0.8855,0.5343,Metals & Mining,93%,21%,Allied Gold Corporation
ABBV,15025,2.66%,1.61%,3.08%,7.53,6.5825,$251.77,11115866,$245.8,1.09%,1.8992,2.6603,Biotechnology,94%,99%,AbbVie Inc.
ABCB,NaN,-0.46%,0.56%,1.40%,1.26,1.9311,$90.99,458295,$NaN,NaN%,1.0874,1.2446,Banks,67%,90%,Ameris Bancorp
ABM,NaN,1.15%,0.43%,2.35%,1.05,1.3319,$45.44,584725,$NaN,NaN%,1.5304,1.1089,Commercial Services & Supplies,65%,87%,ABM Industries Inc.
ABNB,3729,2.27%,-0.30%,4.11%,5.83,4.6041,$145.58,3423530,$142.31,0.30%,1.2923,1.2278,"Hotels, Restaurants & Leisure",66%,79%,"Airbnb, Inc."
ABSI,160711,8.68%,0.54%,14.06%,1.4,1.1199,$10.89,10150566,$10.12,-0.88%,0.7867,1.4338,Biotechnology,66%,88%,Absci Corporation
ABT,111929,-0.02%,-0.52%,2.15%,2,2.334,$93.844,8420173,$94.11,0.93%,0.8353,0.8945,Health Care Equipment & Supplies,32%,83%,Abbott Laboratories
ABVX,42211,4.02%,0.79%,6.53%,6.0799,7.4755,$97.45,1566529,$92.53,0.17%,0.5899,0.5767,Biotechnology,71%,78%,Abivax S.A.
ABX,216,6.45%,3.52%,6.45%,0.6,0.3913,$9.9,468188,$9.26,0.22%,1.1879,1.3136,Insurance,100%,100%,"Abacus Global Management, Inc."
ACA,559,0.00%,-0.10%,0.56%,0.81,4.1084,$144.605,1063876,$144.86,-0.07%,0.5228,1.667,Construction & Engineering,17%,22%,"Arcosa, Inc."
ACAD,85644,-3.98%,-3.42%,8.93%,2.24,0.9182,$25.33,4180810,$26.22,10.54%,3.361,4.523,Biotechnology,12%,65%,ACADIA Pharmaceuticals Inc.
ACGL,17886,2.66%,0.89%,3.19%,3.025,1.8321,$97.53,1204780,$95.06,0.77%,0.7793,0.7088,Insurance,90%,95%,Arch Capital Group Ltd.
ACHC,10219,5.07%,1.78%,6.63%,1.72,1.2054,$27.35,3035565,$26.15,-0.34%,1.4197,1.8271,Health Care Providers & Services,83%,92%,"Acadia Healthcare Company, Inc."
ACI,1518,-3.17%,-0.79%,4.52%,0.61,0.5546,$13.585,5898444,$13.86,0.73%,0.8007,0.9501,Consumer Staples Distribution & Retail,14%,30%,Albertsons Companies
ACIW,NaN,4.62%,1.18%,5.47%,2.575,1.7447,$49.225,915853,$NaN,NaN%,1.072,1.334,Software,84%,94%,"ACI Worldwide, Inc."
ACLS,1810,0.67%,0.55%,4.61%,7.79,14.4829,$173.09,661368,$173.1358,-4.19%,1.5053,1.3626,Semiconductors & Semiconductor Equipment,54%,33%,"Axcelis Technologies, Inc."
ACM,NaN,1.38%,0.69%,2.09%,1.455,2.1225,$71.01,1685823,$NaN,NaN%,1.2093,1.2623,Construction & Engineering,90%,96%,Aecom
ACMR,24808,3.55%,1.53%,5.19%,5.21,10.0948,$104.56,1305998,$101,-5.48%,0.8844,0.889,Semiconductors & Semiconductor Equipment,82%,63%,"ACM Research, Inc."
ACN,18877,2.17%,1.00%,2.75%,3.4599,8.0335,$128.99,10544287,$124.6,-0.97%,0.5412,1.3463,IT Services,92%,79%,Accenture plc
AD,NaN,3.29%,0.64%,4.00%,1.4293,2.2264,$37.09,506074,$NaN,NaN%,2.6753,1.5756,Wireless Telecommunication Services,93%,44%,Array Digital Infrastructure Inc
ADBE,65876,3.67%,1.12%,4.16%,8.12,9.6812,$202.65,5194244,$195.81,1.24%,0.7842,0.7748,Software,90%,93%,Adobe Inc.
ADC,NaN,0.43%,0.16%,1.03%,0.79,1.3037,$77,739678,$NaN,NaN%,1.0824,0.9431,Retail REITs,78%,96%,Agree Realty Corporation
ADEA,30089,3.58%,1.14%,6.70%,1.9506,2.2512,$30.7,1149694,$29.56,-2.70%,0.7064,0.5594,Software,82%,55%,Adeia Inc.
ADI,347822,-5.16%,-1.23%,6.08%,23.26,21.0564,$384.49,7414695,$405.31,-3.02%,1.8723,2.3055,Semiconductors & Semiconductor Equipment,7%,3%,"Analog Devices, Inc."
ADM,347,0.12%,-0.27%,2.41%,1.84,2.2426,$76.79,2419194,$76.2,-0.44%,0.8497,0.9956,Food Products,28%,80%,Archer-Daniels-Midland Company
ADNT,NaN,0.35%,1.09%,5.34%,1.04,0.9755,$20.02,1234794,$NaN,NaN%,2.4101,1.769,Automobile Components,54%,36%,Adient plc
ADP,NaN,2.38%,0.89%,2.95%,6.42,5.7055,$223.41,2696814,$NaN,NaN%,1.4039,1.5011,Professional Services,87%,84%,"Automatic Data Processing, Inc."
ADPT,5122,4.49%,1.20%,5.22%,1.043,1.3814,$20.95,2690365,$20.01,-1.19%,0.9005,0.8816,Life Sciences Tools & Services,95%,99%,Adaptive Biotechnologies Corporation
ADSK,10488,2.34%,0.53%,3.30%,6.32,8.6099,$196.13,1782013,$191.81,1.10%,0.5937,0.6745,Software,72%,86%,"Autodesk, Inc."
ADTN,2063,-1.17%,0.61%,5.62%,0.735,1.0369,$13.52,2224107,$13.67,-2.64%,1.5225,1.0952,Communications Equipment,61%,16%,ADTRAN Holdings Inc.
AEE,NaN,1.30%,1.11%,2.04%,2.335,2.0099,$116.5,1863976,$NaN,NaN%,1.5898,1.7321,Multi-Utilities,94%,98%,Ameren Corporation
AEHR,27962,-4.07%,0.44%,8.97%,7.8999,13.1118,$91.61,1474544,$94.01,-4.84%,1.3488,0.9487,Semiconductors & Semiconductor Equipment,45%,12%,Aehr Test Systems
AEIS,689,-6.24%,-1.70%,8.30%,28.4425,23.4805,$348.11,914526,$364.9,-2.73%,1.5535,1.2124,Semiconductors & Semiconductor Equipment,19%,11%,"Advanced Energy Industries, Inc."
AEM,7698,-0.47%,-0.81%,2.60%,4.075,7.5698,$157.16,2456291,$158.6796,1.60%,0.8806,0.898,Metals & Mining,17%,36%,Agnico Eagle Mines Limited
AEO,368,0.20%,0.31%,3.58%,0.63,0.881,$17.865,3621428,$18,-0.28%,1.0169,0.7004,Specialty Retail,42%,30%,"American Eagle Outfitters, Inc."
AEP,5303,0.52%,0.32%,1.08%,1.4844,2.4771,$138.74,3982308,$138.03,0.75%,1.1529,1.3691,Electric Utilities,77%,97%,"American Electric Power Company, Inc."
AER,171,-1.18%,-0.28%,1.96%,2.9,3.9587,$148.79,867451,$153.11,2.00%,1.0131,0.9255,Trading Companies & Distributors,34%,76%,AerCap Holdings N.V.
AES,3109,0.00%,-0.02%,0.34%,0.05,0.0625,$14.65,4911167,$14.6153,-0.30%,0.9895,0.8222,Independent Power and Renewable Electricity Producers,40%,33%,The AES Corporation
AESI,684,3.32%,2.63%,4.49%,0.73,0.8117,$16.98,2061499,$16.2157,-2.55%,1.0523,0.9601,"Oil, Gas & Consumable Fuels",97%,99%,Atlas Energy Solutions Inc.
AEVA,5852,6.43%,3.96%,11.49%,2.17,2.6925,$20.86,1591861,$20,-0.74%,0.9461,0.766,Automobile Components,91%,25%,"Aeva Technologies, Inc."
AFG,NaN,1.77%,0.99%,2.37%,3.22,2.805,$139.08,241775,$NaN,NaN%,1.0555,0.7526,Insurance,96%,93%,"American Financial Group, Inc."
AFL,692,1.24%,0.43%,1.31%,1.56,2.2604,$120.11,1407630,$118.38,0.13%,0.8833,0.7546,Insurance,94%,97%,Aflac Incorporated
AFRM,8803,4.64%,0.48%,6.44%,4.87,4.7175,$79.39,4246382,$75.11,-2.26%,1.3378,1.0893,Professional Services,78%,90%,"Affirm Holdings, Inc."
AG,119716,0.87%,-1.06%,4.54%,0.755,1.1377,$16.905,9730156,$16.88,2.30%,0.8737,0.8676,Metals & Mining,38%,48%,First Majestic Silver Corp.
AGCO,175,-0.53%,-0.26%,1.77%,2.065,3.9387,$117.32,468439,$119,0.12%,1.1367,0.9174,Machinery,23%,77%,AGCO Corporation
AGI,8680,-0.13%,-1.13%,3.68%,1.1446,2.1858,$31.29,4424443,$31.5,1.25%,0.5801,0.9634,Metals & Mining,20%,66%,Alamos Gold Inc.
AGIO,NaN,4.15%,1.75%,6.66%,2.39,1.5853,$37.87,1347287,$NaN,NaN%,1.679,1.633,Biotechnology,82%,89%,"Agios Pharmaceuticals, Inc."
AGNC,65411,2.73%,0.78%,3.02%,0.32,0.1876,$10.91,28608323,$10.62,0.00%,2.7033,2.4665,Mortgage Real Estate Investment Trusts (REITs),100%,100%,AGNC Investment Corp.
AGO,NaN,2.45%,1.27%,2.67%,2.075,1.4909,$79.61,297086,$NaN,NaN%,1.3707,1.3511,Insurance,92%,95%,Assured Guaranty Ltd.
AGYS,NaN,5.47%,1.13%,6.82%,6.6229,4.6753,$102.55,659522,$NaN,NaN%,1.7352,2.421,Software,83%,94%,"Agilysys, Inc."
AHCO,153,2.59%,1.31%,3.98%,0.395,0.3414,$10.31,2154116,$10.02,0.00%,1.4991,1.9575,Health Care Providers & Services,99%,99%,AdaptHealth Corp.
AHR,398,-0.46%,-0.62%,3.06%,1.54,1.4757,$50.92,6007656,$50.92,0.00%,2.465,3.2141,Diversified REITs,40%,83%,"American Healthcare REIT, Inc."
AIAI,NaN,-9.69%,-3.44%,11.73%,1.6799,1.6959,$14.45,159219,$NaN,NaN%,0.456,0.543,-,8%,3%,AIAI Holdings Corporation Class A Common Stock
AIG,NaN,-0.13%,-0.26%,2.15%,1.61,1.6224,$75.56,3922951,$NaN,NaN%,1.1094,1.501,Insurance,37%,37%,"American International Group, Inc."
AIP,2321,2.69%,0.64%,7.35%,3.01,3.1094,$43.13,822436,$42,-3.65%,1.3031,1.0299,Semiconductors & Semiconductor Equipment,72%,60%,"Arteris, Inc."
AJG,NaN,2.45%,0.50%,2.97%,6.535,6.3948,$225.83,1177727,$NaN,NaN%,0.7417,0.8821,Insurance,89%,96%,Arthur J. Gallagher & Co.
AKAM,47397,0.11%,1.36%,5.61%,6.1045,6.5715,$113.19,3336565,$111.4,-1.32%,0.8334,0.9618,IT Services,71%,27%,"Akamai Technologies, Inc."
AKR,NaN,0.34%,0.26%,2.18%,0.47,0.5218,$21.855,1348532,$NaN,NaN%,0.8923,1.0052,Retail REITs,56%,80%,Acadia Realty Trust
AKTS,4021,-5.38%,-2.47%,15.57%,4.43,2.4506,$29.39,662251,$31.5,1.12%,1.4904,2.3354,-,21%,56%,"Aktis Oncology, Inc."
ALAB,130617,1.88%,1.57%,6.30%,23.4935,38.2038,$390.75,3174078,$379.62,-4.62%,0.7203,0.7041,Semiconductors & Semiconductor Equipment,77%,26%,"Astera Labs, Inc. Common Stock"
ALB,15022,-2.41%,-0.28%,3.91%,5.18,8.7121,$133.7,3261268,$137.14,-2.77%,1.644,1.7932,Chemicals,26%,5%,Albemarle Corporation
ALC,5766,-0.09%,-0.15%,1.51%,1.02,1.4479,$67.82,1364228,$67.9,-0.34%,0.8512,0.7985,Health Care Equipment & Supplies,37%,67%,Alcon Inc.
ALGM,8478,0.93%,-1.26%,6.81%,3.85,4.2614,$57.88,7347076,$57.16,-4.99%,2.5293,3.2295,Semiconductors & Semiconductor Equipment,36%,49%,"Allegro MicroSystems, Inc."
ALGN,NaN,2.55%,1.46%,3.02%,5.25,7.5239,$178.47,933654,$NaN,NaN%,1.1536,1.3441,Health Care Equipment & Supplies,85%,86%,"Align Technology, Inc."
ALGT,NaN,4.25%,1.51%,6.07%,6.7,6.2107,$115.81,1088529,$NaN,NaN%,2.547,2.6816,Passenger Airlines,80%,93%,Allegiant Travel Company
ALH,NaN,1.84%,1.12%,2.00%,0.52,0.9268,$26.5,482073,$NaN,NaN%,1.0415,1.1961,Machinery,98%,45%,Alliance Laundry Holdings Inc.
ALHC,6442,1.36%,-0.60%,4.04%,0.92,1.2693,$23.14,2867072,$22.79,0.35%,0.8315,0.5121,Health Care Providers & Services,39%,77%,"Alignment Healthcare, Inc."
ALK,1012,1.58%,0.77%,1.99%,1.055,2.7381,$53.85,2161351,$53.1265,-0.31%,0.8027,0.7723,Passenger Airlines,83%,93%,"Alaska Air Group, Inc."
ALKS,6228,4.29%,1.30%,5.20%,2.73,2.0837,$55.14,2902804,$53.01,0.34%,1.2272,1.6043,Biotechnology,95%,99%,Alkermes plc
ALKT,6066,2.02%,-0.19%,3.66%,0.585,0.7114,$16.405,3604680,$15.88,0.25%,1.8753,2.4382,Software,68%,93%,"Alkami Technology, Inc."
ALL,NaN,2.16%,0.77%,2.91%,6.78,5.6468,$239.6,1253013,$NaN,NaN%,0.8799,1.0857,Insurance,92%,97%,The Allstate Corporation
ALLE,NaN,1.49%,0.38%,3.34%,4.54,4.2186,$139.71,1407873,$NaN,NaN%,1.607,1.9627,Building Products,84%,94%,Allegion plc
ALLY,1171,1.69%,0.85%,2.75%,1.265,1.2836,$47.16,2371698,$46.17,-0.32%,1.3145,0.9371,Consumer Finance,94%,97%,Ally Financial Inc.
ALM,96328,0.81%,-1.00%,5.29%,0.84,1.3529,$16.22,4209503,$16.04,-2.49%,1.1594,0.8728,Metals & Mining,40%,9%,Almonty Industries Inc. Common Shares
ALMS,916,5.60%,2.80%,7.24%,1.79,1.647,$26.41,1713330,$25,-0.12%,1.8049,1.5515,Biotechnology,95%,97%,Alumis Inc.
ALMU,10073,3.52%,1.20%,4.40%,0.8479,2.5391,$19.93,457507,$19.62,-3.82%,0.6996,0.4803,Semiconductors & Semiconductor Equipment,80%,12%,"Aeluma, Inc."
ALNY,NaN,-2.05%,-1.23%,4.34%,12.59,10.3546,$291.48,761229,$NaN,NaN%,0.73,0.8022,Biotechnology,9%,53%,"Alnylam Pharmaceuticals, Inc."
ALOY,106702,5.70%,0.19%,12.90%,1.7593,3.3752,$14.66,3387366,$13.94,-2.18%,1.3047,1.3379,-,58%,19%,REalloys Inc.
ALRM,NaN,4.56%,1.01%,5.11%,2.265,1.5879,$46.31,393489,$NaN,NaN%,0.8101,1.01,Software,89%,93%,"Alarm.com Holdings, Inc."
ALSN,NaN,-2.65%,-0.65%,2.83%,3.3891,3.9942,$119.84,687051,$NaN,NaN%,1.3118,1.276,Machinery,4%,35%,"Allison Transmission Holdings, Inc."
ALV,2555,0.24%,0.32%,1.94%,2.29,3.5725,$119.195,457451,$119.01,-1.49%,0.9225,0.853,Automobile Components,54%,64%,"Autoliv, Inc."
AM,NaN,1.69%,0.81%,2.16%,0.4908,0.4981,$23.185,2190306,$NaN,NaN%,1.3504,1.5433,"Oil, Gas & Consumable Fuels",98%,99%,Antero Midstream Corporation
AMAT,150332,-2.94%,-2.52%,6.13%,38.16,45.6204,$623.85,12564599,$644.5,-3.52%,1.3849,1.7193,Semiconductors & Semiconductor Equipment,5%,55%,"Applied Materials, Inc."
AMBA,5881,0.23%,0.41%,3.30%,2.02,4.3986,$62.15,992250,$61.5,-4.07%,1.1596,0.6427,Semiconductors & Semiconductor Equipment,49%,11%,"Ambarella, Inc."
AMBQ,3390,0.03%,-0.94%,4.86%,3.8299,7.1489,$80.02,667775,$78.85,-5.49%,0.7333,1.1524,Semiconductors & Semiconductor Equipment,34%,12%,"Ambiq Micro, Inc."
AMCR,4250,1.82%,0.35%,2.52%,1.06,1.155,$43.03,1870994,$42.88,0.05%,0.8134,0.7796,Containers & Packaging,85%,91%,Amcor plc
AMCX,1094,6.77%,1.80%,8.23%,0.7699,0.4475,$10.1,415425,$9.55,1.06%,1.2356,1.0503,Media,96%,97%,AMC Networks Inc.
AMD,943983,-0.01%,0.36%,4.48%,22.5,36.08,$519.74,24663927,$519.83,-2.39%,1.1644,1.007,Semiconductors & Semiconductor Equipment,76%,28%,"Advanced Micro Devices, Inc."
AME,NaN,-0.80%,0.22%,1.58%,3.72,5.87,$237.475,723311,$NaN,NaN%,0.8316,0.9615,Electrical Equipment,44%,36%,"AMETEK, Inc."
AMGN,3336,0.88%,-0.09%,2.29%,8.11,9.2901,$357.81,1683708,$355.8,0.84%,0.8963,0.8413,Biotechnology,45%,82%,Amgen Inc.
AMH,11950,1.26%,0.66%,1.44%,0.485,0.6589,$34.08,2261252,$33.45,0.48%,1.3745,1.2674,Residential REITs,95%,99%,American Homes 4 Rent
AMKR,59489,-3.92%,-0.70%,5.65%,4.37,7.8271,$78.485,4065581,$81.38,-4.95%,0.8696,0.7686,Semiconductors & Semiconductor Equipment,26%,6%,"Amkor Technology, Inc."
AMLX,10178,2.21%,0.89%,5.14%,0.8824,1.019,$17.79,1286952,$17.5,0.34%,0.9387,1.0409,Pharmaceuticals,72%,69%,"Amylyx Pharmaceuticals, Inc."
AMN,3055,-0.52%,0.42%,4.95%,1.58,1.6606,$32.75,874424,$32.8,1.45%,1.3937,1.1436,Health Care Providers & Services,54%,79%,"AMN Healthcare Services, Inc."
AMP,NaN,-0.12%,0.44%,2.48%,11,10.3828,$452.435,659180,$NaN,NaN%,1.2397,1.4088,Capital Markets,77%,28%,"Ameriprise Financial, Inc."
AMPH,NaN,3.66%,1.15%,4.43%,0.925,0.8961,$21.78,333991,$NaN,NaN%,0.668,0.7097,Pharmaceuticals,97%,94%,"Amphastar Pharmaceuticals, Inc."
AMPX,55540,5.91%,0.80%,8.47%,1.025,1.4767,$12.9,5554367,$12.21,-2.79%,0.7761,0.7576,Electrical Equipment,79%,23%,"Amprius Technologies, Inc."
AMRC,421,0.00%,-0.29%,4.25%,1.12,1.6921,$26.81,411264,$27.41,-1.26%,1.2866,0.9497,Construction & Engineering,41%,16%,"Ameresco, Inc."
AMRX,1778,-0.14%,-0.64%,4.32%,0.74,0.6546,$17.25,1541154,$17.5,1.04%,1.0688,1.0155,Pharmaceuticals,18%,68%,"Amneal Pharmaceuticals, Inc."
AMRZ,31606,1.65%,1.16%,2.83%,1.54,2.1389,$55.91,2325706,$55.03,-1.52%,1.021,0.7938,Construction Materials,93%,87%,Amrize Ltd
AMSC,5484,2.33%,0.02%,8.28%,3.1499,3.1148,$39.74,947208,$38.7,-3.92%,1.2693,0.8179,Electrical Equipment,55%,23%,American Superconductor Corporation
AMT,3430,1.72%,0.32%,3.19%,5.465,5.2213,$175.34,2952131,$171.38,1.58%,1.0981,1.3337,Specialized REITs,77%,61%,American Tower Corporation
AMTM,3568,2.16%,0.81%,2.51%,0.4978,0.7952,$20.23,1160480,$20.08,-0.05%,0.7316,0.8248,Professional Services,86%,27%,"Amentum Holdings, Inc."
AMX,NaN,0.74%,-0.40%,2.57%,0.67,0.7291,$26.42,494915,$NaN,NaN%,0.6547,0.4475,Wireless Telecommunication Services,48%,65%,"América Móvil, S.A.B. de C.V."
AMZN,1426631,1.36%,0.22%,3.02%,6.825,8.1871,$230.48,72619637,$227.24,0.10%,1.4233,1.8872,Broadline Retail,64%,29%,"Amazon.com, Inc."
ANET,35604,-1.68%,-0.07%,4.19%,6.49,8.3155,$157.55,6761472,$160.0945,-3.24%,1.1358,1.0807,Communications Equipment,43%,14%,"Arista Networks, Inc."
ANF,NaN,2.46%,0.32%,3.92%,3.49,4.2754,$91.45,1030272,$NaN,NaN%,1.0771,0.9069,Specialty Retail,70%,88%,Abercrombie & Fitch Co.
ANGO,100,-2.05%,-1.13%,3.68%,0.49,0.4433,$13.36,436169,$13.56,-0.73%,1.6963,1.9888,Health Care Equipment & Supplies,12%,74%,"AngioDynamics, Inc."
AON,NaN,3.12%,1.10%,4.07%,12.91,9.0113,$328.17,1435849,$NaN,NaN%,1.1372,1.1798,Insurance,83%,87%,Aon plc
AORT,NaN,4.59%,-0.31%,6.89%,1.55,1.0411,$23.605,1104625,$NaN,NaN%,1.8399,1.8211,Health Care Equipment & Supplies,72%,89%,"Artivion, Inc."
AOS,NaN,1.03%,0.04%,2.98%,1.805,1.9193,$61.73,1437910,$NaN,NaN%,1.0438,1.1132,Building Products,66%,85%,A. O. Smith Corporation
AOSL,5522,2.63%,1.42%,6.02%,2.51,4.7114,$43.855,602259,$43.99,-3.74%,0.9409,0.7972,Semiconductors & Semiconductor Equipment,86%,29%,Alpha and Omega Semiconductor Limited
APA,9220,-0.42%,0.18%,2.28%,0.745,1.4068,$33.01,4840024,$33.1,-0.96%,0.9399,1.1461,"Oil, Gas & Consumable Fuels",53%,23%,APA Corporation
APAM,NaN,2.10%,0.72%,2.46%,0.855,1.0746,$35.54,514172,$NaN,NaN%,1.2475,1.0248,Capital Markets,88%,53%,Artisan Partners Asset Management Inc.
APD,459,-0.53%,-0.45%,1.84%,5.1,6.6634,$277.81,627517,$280,0.03%,0.6741,0.7135,Chemicals,13%,25%,"Air Products and Chemicals, Inc."
APG,NaN,-1.24%,-0.39%,2.09%,0.855,1.4077,$41.11,2113092,$NaN,NaN%,0.9674,0.9227,Construction & Engineering,18%,7%,APi Group Corporation
APGE,3558,-0.10%,-0.04%,0.13%,0.17,6.2575,$132.62,3941346,$133.19,0.38%,0.2836,0.9614,Biotechnology,0%,24%,"Apogee Therapeutics, Inc."
APH,26814,0.69%,-0.04%,3.29%,5.2798,6.6496,$163.46,6639896,$162.17,-1.80%,0.9621,0.9074,"Electronic Equipment, Instruments & Components",53%,58%,Amphenol Corporation
APLD,278424,-0.33%,-0.22%,6.32%,2.3999,4.0754,$39.23,17259081,$39.24,-4.18%,1.2901,1.0386,Software,53%,13%,Applied Digital Corp.
APLE,NaN,0.86%,0.57%,1.55%,0.26,0.3549,$17.03,2337167,$NaN,NaN%,0.8801,1.0086,Diversified REITs,88%,96%,"Apple Hospitality REIT, Inc."
APO,NaN,-2.24%,-1.54%,3.84%,4.52,4.7086,$118.32,5370421,$NaN,NaN%,1.4141,1.9099,Capital Markets,17%,4%,"Apollo Global Management, Inc."
APP,16534,6.80%,0.61%,9.75%,42.92,31.7717,$476.65,2571647,$447,0.24%,0.4742,0.5475,Software,84%,90%,AppLovin Corporation
APPN,910,5.03%,1.19%,6.43%,1.34,1.3839,$21.91,415513,$20.7897,0.77%,0.5497,0.4729,Software,79%,90%,Appian Corporation
APPS,20123,10.46%,2.14%,13.28%,1.315,0.9559,$11.09,5441608,$10.07,-0.89%,1.237,0.6986,Software,90%,96%,"Digital Turbine, Inc."
APTV,7041,-0.43%,0.31%,3.70%,2.2,2.6649,$60.29,3017342,$61.04,-1.50%,1.4494,0.9806,Automobile Components,40%,14%,Aptiv PLC
AR,1502,1.34%,-0.51%,3.49%,1.21,1.0449,$35.165,3498663,$34.4,-0.29%,0.7197,0.8188,"Oil, Gas & Consumable Fuels",41%,77%,Antero Resources Corporation
ARCC,7744,1.53%,0.38%,1.78%,0.32,0.3291,$18.205,2937804,$17.9682,-0.12%,0.5418,0.6016,Capital Markets,86%,92%,Ares Capital Corporation
ARE,1389,2.62%,-0.11%,4.56%,2.45,2.2294,$55.17,1447741,$53.44,0.28%,1.3645,1.0314,Diversified REITs,58%,82%,"Alexandria Real Estate Equities, Inc."
ARES,769,-2.99%,-1.38%,5.11%,5.54,5.8201,$109.03,2591443,$112.47,0.00%,1.0876,1.2469,Capital Markets,13%,3%,Ares Management Corporation
ARGX,6592,-0.88%,-0.69%,3.02%,26.575,34.4909,$887.17,341654,$894.62,0.67%,0.7219,1.0306,Biotechnology,24%,51%,argenx SE
ARI,5852,0.19%,0.08%,1.03%,0.11,0.2044,$10.76,3475816,$10.82,0.46%,1.242,2.3588,Mortgage Real Estate Investment Trusts (REITs),68%,52%,"Apollo Commercial Real Estate Finance, Inc."
ARIS,16946,0.73%,-0.96%,5.65%,0.84,1.095,$15.16,1429782,$15.1,0.67%,1.0411,1.1171,Metals & Mining,35%,25%,Aris Mining Corporation
ARLO,NaN,0.36%,-0.18%,4.10%,0.505,0.5418,$12.5,724308,$NaN,NaN%,0.8949,0.9207,"Electronic Equipment, Instruments & Components",35%,20%,"Arlo Technologies, Inc."
ARM,286424,-0.11%,0.57%,4.01%,13.1,38.5638,$334.87,6584373,$334.46,-3.81%,0.7366,0.6086,Semiconductors & Semiconductor Equipment,62%,7%,Arm Holdings plc American Depositary Shares
ARMK,325,2.26%,0.46%,2.62%,1.435,1.1097,$56.034,2399285,$55,0.40%,1.473,1.3627,"Hotels, Restaurants & Leisure",86%,94%,Aramark
AROC,NaN,1.06%,0.41%,2.74%,1.1245,1.3343,$41.94,3793225,$NaN,NaN%,1.6404,2.5671,Energy Equipment & Services,75%,95%,"Archrock, Inc."
ARQQ,11580,-8.30%,-6.37%,16.72%,4.0303,3.6158,$24.3,626418,$26.25,-3.92%,0.3337,0.5265,Software,5%,42%,Arqit Quantum Inc.
ARQT,NaN,0.75%,0.42%,2.93%,0.775,1.265,$26.99,1140620,$NaN,NaN%,0.7592,0.8864,Biotechnology,66%,37%,"Arcutis Biotherapeutics, Inc."
ARR,15498,0.73%,0.17%,1.52%,0.26,0.3231,$17.25,2635477,$17.1,-0.23%,1.1002,0.9807,Mortgage Real Estate Investment Trusts (REITs),67%,90%,"ARMOUR Residential REIT, Inc."
ARW,NaN,-4.55%,-1.42%,5.26%,11.27,8.0491,$214.74,637238,$NaN,NaN%,1.5325,1.6054,"Electronic Equipment, Instruments & Components",3%,2%,"Arrow Electronics, Inc."
ARWR,5836,0.13%,-0.88%,6.26%,4.845,4.0705,$79.04,2747437,$79.5315,0.33%,1.8565,2.2435,Biotechnology,33%,24%,"Arrowhead Pharmaceuticals, Inc."
ARX,NaN,7.60%,3.72%,7.99%,1.0215,0.8801,$13.755,3076216,$NaN,NaN%,2.0615,2.4766,Insurance,95%,90%,Accelerant Holdings
ARXS,NaN,0.34%,1.47%,4.39%,1.88,2.6382,$44.26,2113981,$NaN,NaN%,2.0104,2.4294,-,78%,48%,"Arxis, Inc. Class A Common Stock"
AS,1790,1.49%,0.16%,2.96%,0.99,1.4048,$34.16,3331155,$33.81,-0.91%,1.1642,1.0614,"Textiles, Apparel & Luxury Goods",68%,19%,"Amer Sports, Inc."
